run_id	recorded_at	gender	age	main_dv	tech_issues	stable_cause	efficacy_check	variability_check	desktop_conf	att_conf	causal_strength	decision_level	str_correct	stab_correct	main_dv_rec
14	20.12.2021 12:26	1	33	0	"{""Q0"":""No errors, thank you.""}"	A	10	1	1	1	ten	general_norm	correct	correct	1
19	20.12.2021 12:55	2	47	0.11	"{""Q0"":""none""}"	A	10	1	1	1	ten	general_norm	correct	correct	0.89
29	20.12.2021 12:57	1	51	0.39	"{""Q0"":""}"	A	10	1	1	1	ten	general_norm	correct	correct	0.61
43	20.12.2021 12:58	1	20	0	"{""Q0"":""}"	A	10	1	1	1	ten	general_norm	correct	correct	1
60	20.12.2021 13:02	2	25	0.34	"{""Q0"":""}"	A	10	1	1	1	ten	general_norm	correct	correct	0.66
76	20.12.2021 15:37	4	28	0.4	"{""Q0"":""I am of the female sex, and therefore am a woman, but do not 'identify' with any gender. I believe this is a sexist question because it normalises the connection of femininity with womanhood and masculinity with manhood. For most of us, the concept of gender identity holds little resonance until sexist ideas take root in the public sphere. Besides, what is the purpose of asking whether someone belongs to the female or the male category? Are you trying to measure the likelihood of reaching these decisions against sex or against self-image?""}"	A	10	1	1	1	ten	general_norm	correct	correct	0.6
86	20.12.2021 15:50	2	21	0.75	"{""Q0"":""}"	A	10	1	1	1	ten	general_norm	correct	correct	0.25
96	20.12.2021 15:50	1	69	0.01	"{""Q0"":""No errors""}"	A	10	1	1	1	ten	general_norm	correct	correct	0.99
141	20.12.2021 19:33	2	43	0.21	"{""Q0"":""}"	A	10	1	1	1	ten	general_norm	correct	correct	0.79
169	20.12.2021 20:46	2	33	0	"{""Q0"":""}"	A	10	1	1	1	ten	general_norm	correct	correct	1
177	20.12.2021 21:07	2	57	1	"{""Q0"":""No errors""}"	A	10	1	1	1	ten	general_norm	correct	correct	0
187	20.12.2021 21:07	2	28	0.95	"{""Q0"":""}"	A	10	1	1	1	ten	general_norm	correct	correct	0.05
196	20.12.2021 21:32	2	33	0.08	"{""Q0"":""Using chrome browser, I had no technical issues. The graphs were displayed correctly and easy to interpret. ""}"	A	10	1	1	1	ten	general_norm	correct	correct	0.92
