sID	Condition	Strength	Level	Unstable_label	Unstable_col	rating_stable	rating_unstable	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Justification	Efficacy_check	Variability_check	Technical_issues	Duration (sek)	scenario_check
852	3	ninety	government	Zyphranol	blue	89	14	1	1	24	2	Alcetyne has a higher and more consistent success rate	8	1	-99	238	correct
854	3	ninety	government	Zyphranol	blue	87	11	1	1	26	2	It is better to use Alcetyne as it is a more stable product in comparison. With those people of a certain blood composition more prone to death, it would be inhumane (on a government decision-making level) to choose that product due to the high likelihood of dying. We do not know the composition of the population with that particular blood, thus, it would be more logical to choose the stable compound.	8	1	No errors	329	correct
856	3	ninety	government	Zyphranol	blue	96	22	2	1	42	2	I think the government should order the medication that has consistent results rather than taking risks with the other	8	1	-99	184	correct
857	3	ninety	government	Zyphranol	blue	93	71	1	1	31	1	It is based on the level of consistency it provides for the blood cells.	8	3	Perfect.	538	incorrect
858	3	ninety	government	Zyphranol	blue	100	1	1	1	23	2	Zyphranol percentage of curing lipogastrisis varies greatly depending on the blood composition of the patient. This would requires a patients blood composition to tested before administration and that cost time and more medical resources. Whereas with Aceltyne the percentage of curing lipogastisis is more constant and stable throughout different blood compositions. This is a more safer and viable choice.	8	1	None.	806	correct
862	3	ninety	government	Zyphranol	blue	70	28	1	1	19	2	overall more of a average survival for all higher	8	1	-99	210	correct
863	3	ninety	government	Zyphranol	blue	93	14	1	1	63	2	I felt that the risks of death for people of certain blood compositions with one drug was unacceptable, even if the average efficacy was the same for both drugs	8	1	-99	321	correct
865	3	ninety	government	Zyphranol	blue	100	10	1	1	52	1	This action would successfully treat proportionatley more people with a wider range of blood groups	8	1	Nothing noticed	326	correct
867	3	ninety	government	Zyphranol	blue	99	20	1	1	65	1	You would buy the one that gives all people an equal chance of living.	8	1	none	410	correct
870	3	ninety	government	Zyphranol	blue	100	20	1	1	24	2	alc seems to be consistent when it comes to survival than the other medicine (zy)	8	3	-99	584	incorrect
872	3	ninety	government	Zyphranol	blue	51	51	1	1	47	2	I gave these ratings because I think the government should maybe discuss what they want to do and maybe ask medical care as well.	4	3	-99	163	incorrect
874	3	ninety	government	Zyphranol	blue	96	4	1	1	51	2	Because overall, the chances of Alcetyne helping more patients with a greater degree of success outweigh the potential poor outcomes for some patients who are treated with Zyphranol. Alctyne is preferable because its results are more predictable, and if these are the only two treatments available for Lipogastrosis, then fewer patients will die overall than if treated with Zyphranol	8	1	None	341	correct
877	3	ninety	government	Zyphranol	blue	96	9	1	1	27	3	I think the consistency is what matters. People wouldn't feel safe if they knew their country was using a medicine that wasn't nearly as effective for some people.	8	1	-99	1681	correct
879	3	ninety	government	Zyphranol	blue	100	0	1	1	54	1	Although one drug may be more effective than the other drug in some cases in other cases it is not and this does not seem a risk worth taking , the A drug is consistent in that it will work with an Average of 90 % every time with zero risk that it will not work depending upon blood composition. The slightly higher than average benefit that the first drug gives is not worth the risk overall that it will not work in all cases.	8	1	-99	688	correct
880	3	ninety	government	Zyphranol	blue	99	9	1	1	40	2	The medication I have chosen is more consistent,than the one with varying ups and downs.I would rather have a constant outcome than unpredictability.	8	3	no errors	322	incorrect
882	3	ninety	government	Zyphranol	blue	100	0	1	1	67	2	Alcetyne gives everyone a fair & equal chance of survival.	8	1	-99	341	correct
886	3	ninety	government	Zyphranol	blue	92	5	1	1	26	2	The efficacy of zyphranol differs extremely depending on the blood type, there are instances where the efficacy is zero and instances where it is 100. This is good for certain blood types but terrible for other blood types. On the other hand, the alternative medicine had a more consistent efficacy throughout all blood types and therefore should be considered as the safer option.	8	1	NA	625	correct
887	3	ninety	government	Zyphranol	blue	37	59	1	1	26	2	Its a tough decision as the graph shows very different results. I chose the blue one as it shows a better rate of survival but only for those with certain blood types so it is still risky.	8	1	None	198	correct
888	3	ninety	government	Zyphranol	blue	100	1	1	1	48	2	acleteyne is a general all purpose med and works reguardless of blood composition , the other drug proves highly ineffective for certain blood compostions making it unfair to use the drug for them , they have a better chance with the aceletyne	8	1	great thanks	448	correct
889	3	ninety	government	Zyphranol	blue	97	9	1	1	24	1	Zyphranol lacks consistency in providing 90% efficacy of survivors compared to Alcyterine. It also shows close to 0% efficacy for some blood types, which is unacceptable.	8	1	None.	981	correct
890	3	ninety	government	Zyphranol	blue	100	12	1	1	20	2	although Zyphranol  is more effective it has limitations and compromises some of the blood compositions however the other one works and have the same level of accuracy across all blood compositions meaning everyone is covered.	8	1	none	426	correct
892	3	ninety	government	Zyphranol	blue	99	12	1	1	34	2	I would rather have a more stable outcome then worrying about the type of blood composite. The acetyne has a more steady chance of success rather then the other one	8	1	-99	366	correct
895	3	ninety	government	Zyphranol	blue	100	12	1	1	26	1	I think that they should order the Ace one as it gives everyone the same chance at survival and therefore I think will save more people than the other one.	8	1	-99	403	correct
900	3	ninety	government	Zyphranol	blue	79	11	1	1	41	2	I wouldn't really want to use a medicine for survival that is made up of figures such as much higher and much lower chance of dying based on a persons blood composition.	8	1	-99	781	correct
901	3	ninety	government	Zyphranol	blue	96	8	1	1	24	2	This situation is literally life or death and the government will be in a better position to aid public health if they use the drug with a more consistent survival rate than the other one that is almost luck of the draw.	8	1	-99	223	correct
902	3	ninety	government	Zyphranol	blue	93	24	1	1	25	1	The government must get the medicine with an average of 90% across all the blood types. This is because the appearance of blood types across the population is uniform, that is the blood types are uniformly distributed across the entire population. In this case, we would be giving everyone an equal opportunity at survival. The other medicine (plotted in blue) does not afford all blood types an equal opportunity at survival.	8	1	No errors experienced, smooth sailing	1306	correct
905	3	ninety	government	Zyphranol	blue	100	1	1	1	23	2	I would choose the drug that is consistently around 90% because this is fair to all people. Ordering the other drug would mean some people would have a much higher risk of death which isn't fair.	8	1	None	166	correct
906	3	ninety	government	Zyphranol	blue	90	3	1	1	44	2	The A medicine's efficacy is more consistent across the blood groups.  The z medicine is more of a lottery and could have a discriminatory affect on outcomes depending on blood groups.	8	1	-99	236	correct
910	3	ninety	government	Zyphranol	blue	80	17	1	1	39	1	If only one treatment can be obtained, it's fairer to choose the one that has the most equally distributed benefit to the population as a whole. Zyphranol would be unfair to choose as large numbers of people wouldn't benefit at all, through no fault of their own.	8	1	-99	282	correct
911	3	ninety	government	Zyphranol	blue	99	0	1	1	43	2	The medication I have chosen gives a more stable outcome and I feel overall will cause less deaths.  It is my opinion that I would go with my selection as you are more likely to saves more lives in your population.  The other medication poses too many risks in quite a few blood types therefore I do not deem it safe to administer to the public.	8	1	no errors at all	429	correct
913	3	ninety	government	Zyphranol	blue	100	71	1	1	36	1	I think they should order the one that is more steady in the people which are helped by the drug. This gives everyone a fair chance of it being effective	8	1	-99	344	correct
914	3	ninety	government	Zyphranol	blue	93	12	1	1	31	1	In terms of equity of outcomes, one had lower overall efficacy, but it doesn't fluctuate for blood composition. Governments have a responsibility to give people equal outcomes.	8	1	-99	311	correct
915	3	ninety	government	Zyphranol	blue	100	2	1	1	67	2	Obliviously with the probability of survival the best treatment option was for the medicine A.... therefore this is the only option that should be considered	8	1	No problems but for such a short study the names of medicines and explanations were a bit too complex	562	correct
920	3	ninety	government	Zyphranol	blue	21	87	1	1	63	1	it seems to be better with all blood types	8	2	allwent well	329	incorrect
921	3	ninety	government	Zyphranol	blue	58	70	1	1	71	1	There is no real reason as it's a toss-up between the two and it depends on the blood-type of the patients to which the medication is given.	3	3	N/A	348	incorrect
925	3	ninety	government	Zyphranol	blue	87	21	1	1	60	2	I am uncertain but I think it is better to give all the infected people a 90% chance of survival rather than risk the small percentage that the other medicine would not help at all.	8	1	none	366	correct
926	3	ninety	government	Zyphranol	blue	88	8	1	1	31	1	The logical thing to do I'm option would be to screen the blood compositions of affected patients and choose the medication that I best suited to the results. as this wasn't an option I went with the medicine that was suited to most blood groups most of the time on average.	8	1	-99	417	correct
927	3	ninety	government	Zyphranol	blue	100	2	1	1	54	2	The Alcotyne was much more level result across the board, despite blood composition type.  The Z medicine had very low life saving results for certain blood compositions, given some people little or even no chance of survival. It is almost a discrimination.	8	1	All good	464	correct
928	3	ninety	government	Zyphranol	blue	99	1	1	1	64	2	The A. vaccination is 90$ at preventing severe disease and death with very few known complications where the Z. vaccination can cause death in certain people who have a particular blood componenent.  Therefore for the safety of the general population it is more advisable to order vaccination A.	8	1	-99	749	correct
931	3	ninety	government	Zyphranol	blue	99	0	1	1	58	1	The drug that has the average of 90% cure on all blood types is more fair to the whole population by not puting people at risk just by luck (blood type).	8	1	None.	574	correct
932	3	ninety	government	Zyphranol	blue	63	52	1	1	57	1	Although teh first medication is of higher effectiveness overall, it has less protection for some so I shose to go for the mid range	8	1	-99	247	correct
933	3	ninety	government	Zyphranol	blue	100	0	1	1	33	1	The problem it seems is an ethical/moral one, It seems intuitive that each person should have the same chance and it not be based on some physical attribute they may or may not have. This type of screening(blood based) could also have down stream consequences which could also make it an actual logical option. For example a new virus develops in future that only kills those with the blood types that were better off in the previous scenario. So if the probabilities are the same. It is probably better to use the option that keeps diversity of such attributes.	8	1	-99	708	correct
935	3	ninety	government	Zyphranol	blue	100	13	1	1	20	2	If the government can only order one then they should order one that is more likely to work effectively on more people. A significant number of people would not be able to receive proper treatment if they ordered the one that depends on blood type.	8	1	-99	263	correct
