run_id	recorded_at	gender	age	main_dv	tech_issues	stable_cause	efficacy_check	variability_check	desktop_conf	att_conf	causal_strength	decision_level	str_correct	stab_correct	main_dv_rec
6	23.12.2021 16:44	1	28	0	"{""Q0"":""}"	A	15	1	1	1	ten	general_norm	correct	correct	1
15	23.12.2021 17:08	2	54	0.61	"{""Q0"":""no errors. Thank you.""}"	A	15	1	1	1	ten	general_norm	correct	correct	0.39
20	23.12.2021 17:08	1	28	0	"{""Q0"":""none seen""}"	A	15	1	1	1	ten	general_norm	correct	correct	1
31	23.12.2021 17:09	1	29	0	"{""Q0"":""}"	A	15	1	1	1	ten	general_norm	correct	correct	1
35	23.12.2021 17:10	1	20	0.59	"{""Q0"":""}"	A	15	1	1	1	ten	general_norm	correct	correct	0.41
44	24.12.2021 05:56	1	41	0.04	"{""Q0"":""None""}"	A	15	1	1	1	ten	general_norm	correct	correct	0.96
62	24.12.2021 05:57	1	24	0	"{""Q0"":""}"	A	15	1	1	1	ten	general_norm	correct	correct	1
73	24.12.2021 05:57	1	20	0.09	"{""Q0"":""}"	A	15	1	1	1	ten	general_norm	correct	correct	0.91
82	24.12.2021 05:58	1	41	0.01	"{""Q0"":""looks good""}"	A	15	1	1	1	ten	general_norm	correct	correct	0.99
91	24.12.2021 06:16	1	24	0.15	"{""Q0"":""}"	A	15	1	1	1	ten	general_norm	correct	correct	0.85
113	24.12.2021 06:17	2	54	0.21	"{""Q0"":""}"	A	15	1	1	1	ten	general_norm	correct	correct	0.79
127	24.12.2021 06:18	2	50	0.27	"{""Q0"":""}"	A	15	1	1	1	ten	general_norm	correct	correct	0.73
146	24.12.2021 06:20	2	29	0.16	"{""Q0"":""none""}"	A	15	1	1	1	ten	general_norm	correct	correct	0.84
153	24.12.2021 06:29	1	37	0.05	"{""Q0"":""No issues""}"	A	15	1	1	1	ten	general_norm	correct	correct	0.95
160	24.12.2021 06:30	3	24	0	"{""Q0"":""}"	A	15	1	1	1	ten	general_norm	correct	correct	1
163	24.12.2021 06:30	2	20	0.36	"{""Q0"":""N/A""}"	A	15	1	1	1	ten	general_norm	correct	correct	0.64
185	24.12.2021 07:38	1	38	0.21	"{""Q0"":""no issues at all to report, thank you""}"	A	15	1	1	1	ten	general_norm	correct	correct	0.79
