run_id	recorded_at	age	gender	main_dv	tech_issues	stable_cause	efficacy_check	variability_check	desktop_conf	att_conf	causal_strength	decision_level	str_correct	stab_correct	main_dv_rec
64	25.12.2021 18:20	24	1	0.1	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.9
101	26.12.2021 06:33	61	2	0.26	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.74
119	26.12.2021 06:34	21	2	0.18	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.82
140	26.12.2021 06:35	39	1	0.07	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.93
168	26.12.2021 07:04	23	3	0.11	"{""Q0"":""I had no issues and saw no errors in spelling or grammar.""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.89
195	26.12.2021 07:06	39	1	0.33	"{""Q0"":""no issues""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.67
233	26.12.2021 08:08	47	1	0.19	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.81
267	26.12.2021 09:19	22	1	0.24	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.76
299	26.12.2021 09:21	23	1	0	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	1
324	26.12.2021 11:18	33	1	0.09	"{""Q0"":""N/A""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.91
380	26.12.2021 13:46	34	1	0.25	"{""Q0"":""Interesting study. Thanks for letting me take part.""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.75
415	27.12.2021 06:31	40	1	0.07	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.93
443	27.12.2021 06:54	35	2	0.2	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.8
450	27.12.2021 07:14	18	1	1	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0
451	27.12.2021 07:14	48	1	0	"{""Q0"":""Everything was displayed perfectly.""}"	A	85	1	1	1	eightyfive	personal	correct	correct	1
526	28.12.2021 07:02	49	1	0.06	"{""Q0"":""}"	A	85	1	1	1	eightyfive	personal	correct	correct	0.94
10	25.12.2021 16:23	47	2	0.12	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.88
41	25.12.2021 17:42	33	2	0	"{""Q0"":""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	1
126	26.12.2021 06:34	22	1	0.13	"{""Q0"":""no errors found""}"	A	85	1	1	1	eightyfive	general_norm	correct	correct	0.87
