run_id	condition	trial_type	condition_1	desktop_conf	attent_conf	c_strength	stable_c	stable_col	scenario	efficacy_check	variability_check	age	gender	tech_issues	response	recorded_at	PROLIFIC_PID	str_correct	stab_correct	main_dv	main_dv_rec
62	1	html-slider-response	1	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	red	School	One had 90% average efficacy and the other 85%.	1	30	2: female	No errors	17	2022-01-04 09:50:06	60d3457b4b0840ff0b8435a4	correct	correct	0.17	0.83
129	1	html-slider-response	1	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	red	School	One had 90% average efficacy and the other 85%.	1	24	1: male	N/A	0	2022-01-04 10:37:36	60b9445d2fd729fe3638d892	correct	correct	0	1
161	1	html-slider-response	1	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	red	School	One had 90% average efficacy and the other 85%.	1	58	1: male	"	10	2022-01-04 11:23:05	5f52450d6df3fe09b06bc2cc	correct	correct	0.1	0.9
218	1	html-slider-response	1	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	red	School	One had 90% average efficacy and the other 85%.	1	20	2: female	"	23	2022-01-04 12:00:48	60d11210d7d9367f33e76913	correct	correct	0.23	0.77
254	1	html-slider-response	1	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	red	School	One had 90% average efficacy and the other 85%.	1	33	2: female	"	5	2022-01-04 12:25:32	60ddcc052137212419247c3c	correct	correct	0.05	0.95
292	27	html-slider-response	1	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	red	School	One had 90% average efficacy and the other 85%.	1	61	1: male	There were no issues and all worked fine.	0	2022-01-04 12:54:41	5ea19dcac30e0005e6e6b6e3	correct	correct	0	1
12	2	html-slider-response	2	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	red	School	One had 90% average efficacy and the other 85%.	1	38	2: female	"	18	2022-01-04 09:10:12	60f5ddfa65461f3460082a4b	correct	correct	0.18	0.82
68	2	html-slider-response	2	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	red	School	One had 90% average efficacy and the other 85%.	1	37	2: female	None i noticed	100	2022-01-04 10:18:33	5c2a799737ae5200017c7712	correct	correct	1	0
132	2	html-slider-response	2	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	red	School	One had 90% average efficacy and the other 85%.	1	42	2: female	"	17	2022-01-04 10:38:02	60c347136d0a78b90bbd88e6	correct	correct	0.17	0.83
166	2	html-slider-response	2	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	red	School	One had 90% average efficacy and the other 85%.	1	41	2: female	None	26	2022-01-04 11:23:08	5cc49e10c286750014093dd8	correct	correct	0.26	0.74
270	2	html-slider-response	2	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	red	School	One had 90% average efficacy and the other 85%.	1	34	2: female	"	23	2022-01-04 12:25:44	60fdd0b4f6dd3ba555f0f9db	correct	correct	0.23	0.77
294	38	html-slider-response	2	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	A	red	School	One had 90% average efficacy and the other 85%.	1	30	1: male	"	34	2022-01-04 13:10:24	614ae916cbcaa6672b64cb04	correct	correct	0.34	0.66
41	3	html-slider-response	3	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 85%.	1	34	1: male	"	67	2022-01-04 09:49:32	5fb1b6a116dfd36eea55dacd	correct	correct	0.67	0.67
61	3	html-slider-response	3	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 85%.	1	27	2: female	No errors occured	100	2022-01-04 09:49:59	609c333cb11fc75e81ade0c1	correct	correct	1	1
131	3	html-slider-response	3	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 85%.	1	28	2: female	"	88	2022-01-04 10:38:00	5ec57069f264da556b3f1cfa	correct	correct	0.88	0.88
256	3	html-slider-response	3	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 85%.	1	33	1: male	"	74	2022-01-04 12:25:33	61169988cf61a1a4c41fdf9c	correct	correct	0.74	0.74
295	4	html-slider-response	3	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 85%.	1	26	1: male	"	95	2022-01-04 13:13:42	58670dbe8596530001079a2a	correct	correct	0.95	0.95
296	11	html-slider-response	3	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 85%.	1	71	2: female	I am assuming the 40 type of issues identified were not meant to be readable.  With the layout, the horizontal axis was unreadable.	87	2022-01-04 13:13:43	611bef869f91f800ad3b193e	correct	correct	0.87	0.87
19	4	html-slider-response	4	1: I confirm	1: I will take it seriously	0.85 vs. 0.90	Z	blue	School	One had 90% average efficacy and the other 85%.	1	22	2: female	"	77	2022-01-04 09:27:26	6128b917b88ff78b667e46f0	correct	correct	0.77	0.77
